participant,base_uuid,unique_uuid,group,num_points,hull_count,hull_contiguous,hull_switches,hull_segment_length,hull_first_position,adherence_score
20053,34839dd1-7558-4cbf-a9a7-4a5af5610fab,5f4cda52-25e0-4f05-b150-73ba540feed9,disperse,25,9,False,10,5,3,0.4444444444444444
20053,b3f3232f-dc0b-478c-8c4c-f32be0b615af,52d0a5da-be15-4fe0-b7b3-50045483a302,clustered,25,6,False,8,3,0,0.33333333333333337
20053,a52e04a2-854b-4bac-913b-57193c4a0b9f,07ae0046-1d48-49ad-ba88-a186a4668541,disperse,20,8,False,6,4,5,0.625
20053,7cb9e4fa-5385-40fc-bc08-a1bc58f339f1,4a002675-e74d-4b0d-9253-e62c7fbacaed,clustered,15,7,False,10,2,2,0.2857142857142857
20053,7f2faf0a-3b6c-473f-b757-031c26da8fb6,302a47f2-d3a2-4497-a64d-ddeba6aaaad3,disperse,20,8,False,6,4,0,0.625
20053,e3921989-bb6b-4af9-a93c-dfea0cac640a,f25e717c-613b-49f0-9c1a-6c701a98ac12,clustered,20,8,False,10,3,0,0.375
20053,80591d3c-75e8-467a-a4c8-a500dfa726fa,9ce3d901-93d3-4d48-bcf0-fa3873dc7a8c,disperse,10,8,False,4,5,0,0.75
20053,6427c4a4-177d-4e0d-83af-77ec2c7d5ec9,09b3e433-fb77-4ccb-a0aa-0511f6e9e365,disperse,20,6,False,10,2,1,0.16666666666666663
20053,238a8f7d-e7b1-46bf-bfc2-b750613b470f,57d8ed2c-dcd3-4080-bfa0-24ca5f82056e,disperse,10,4,False,6,2,0,0.25
20053,19ee29b6-b6f8-4e8d-9a7f-1e721e51d336,9dce5bc4-5750-4f2c-b6ea-aeaa37be203d,clustered,25,9,False,8,3,0,0.5555555555555556
20053,759f6114-d435-4e65-b2a6-fd9a0cf508bf,5d6ca976-18ce-41d6-a822-b34beeb05922,clustered,20,8,False,8,2,1,0.5
20053,6e8c910b-843f-482c-81ee-8e217e0396db,4bcc64af-ab87-4531-8661-77eec37c5660,clustered,10,6,False,6,4,0,0.5
20053,3c61df79-3f08-446e-a753-cd497be9ba96,8495b0dd-5faf-49dc-acfc-c98f7d9ad836,clustered,25,8,False,10,2,3,0.375
